run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
1049,chebyshev_d5_I2,411,7,12,1049,0.01239730000088457,0.2190940999862505,0.007669999991776422,0.2391613999789115
1050,least_squares_d5_I2,586,0,9,1050,0.012746799999149516,0.2187623999925563,0.007790599993313663,0.2392997999850195
1051,least_squares_d3_I1,120,5,3,1051,0.009508800008916296,0.16926029999740422,0.00779319999855943,0.18656230000487994
1052,chebyshev_d5_I1,411,7,7,1052,0.012516799994045869,0.2213596000074176,0.007864400002290495,0.24174080000375398
1053,least_squares_d5_I2,586,0,10,1053,0.012709699993138202,0.218610500000068,0.007777000006171875,0.23909719999937806
1054,chebyshev_d5_I1,603,8,26,1054,0.012712600000668317,0.22061309999844525,0.007904399986728095,0.24123009998584166
1055,chebyshev_d5_I2,603,8,19,1055,0.012527399987448007,0.21924520000175107,0.00782210000033956,0.23959469998953864
1056,least_squares_d5_I2,603,8,1,1056,0.012543599994387478,0.21987450000597164,0.00786659998993855,0.24028469999029767
1057,least_squares_d5_I1,949,1,28,1057,0.01247000000148546,0.21751890001178253,0.008398999998462386,0.23838790001173038
1058,chebyshev_d5_I1,949,1,8,1058,0.012845699995523319,0.2194788999913726,0.0077403999894158915,0.2400649999763118
1059,chebyshev_d5_I1,259,6,26,1059,0.012564899996505119,0.21787480000057258,0.008851599995978177,0.23929129999305587
1060,chebyshev_d5_I2,603,8,28,1060,0.012421400009770878,0.21783330000471324,0.007810000010067597,0.2380647000245517
1061,chebyshev_d3_I1,589,4,3,1061,0.009297500000684522,0.16889700001047458,0.007847500004572794,0.1860420000157319
1062,chebyshev_d5_I2,589,4,16,1062,0.012518399991677143,0.22051830000418704,0.007714999999734573,0.24075169999559876
1063,chebyshev_d3_I1,481,9,5,1063,0.009485400005360134,0.16830459999619052,0.007886099992902018,0.18567609999445267
1064,chebyshev_d3_I1,589,4,2,1064,0.00949640000180807,0.1684804999968037,0.007891299988841638,0.1858681999874534
1065,chebyshev_d5_I2,120,5,5,1065,0.012544899989734404,0.21937599999364465,0.0077234000054886565,0.23964429998886772
1066,chebyshev_d3_I1,589,4,19,1066,0.009362099997815676,0.16719880000164267,0.007649399994988926,0.18421029999444727
1067,least_squares_d5_I2,633,2,11,1067,0.012732500006677583,0.21878700000524987,0.007750999997369945,0.2392705000092974
1068,least_squares_d5_I2,411,7,21,1068,0.012331599995377474,0.21929179999278858,0.00801839999621734,0.2396417999843834
1069,least_squares_d3_I1,586,0,12,1069,0.009389400001964532,0.16833410000253934,0.007864100000006147,0.18558760000451002
1070,chebyshev_d5_I2,589,4,2,1070,0.01242410000122618,0.2889508000080241,0.008593499995185994,0.30996840000443626
1071,chebyshev_d5_I1,603,8,15,1071,0.013547499998821877,0.23747500000172295,0.007986800002981909,0.25900930000352673
1072,chebyshev_d5_I1,949,1,21,1072,0.013120100004016422,0.22573859999829438,0.007984799987752922,0.24684349999006372
1073,chebyshev_d3_I1,949,1,23,1073,0.009508699993602931,0.16804679999768268,0.007829199996194802,0.18538469998748042
1074,chebyshev_d3_I1,411,7,29,1074,0.009437300002900884,0.172351900007925,0.008142799997585826,0.1899320000084117
1075,least_squares_d3_I1,586,0,23,1075,0.009407200006535277,0.16491219999443274,0.007676799999899231,0.18199620000086725
1076,least_squares_d5_I1,633,2,10,1076,0.012523000012151897,0.2186657000129344,0.007819499995093793,0.23900820002018008
1077,least_squares_d5_I1,603,8,14,1077,0.012587200006237254,0.2218843000009656,0.007910800006357022,0.24238230001355987
