configuration_id,activation,method,degree,effective_degree,interval_name,lower_bound,upper_bound,mae_uniform,rmse_uniform,max_error_uniform,x_at_max_error_uniform,mae_empirical,rmse_empirical,median_abs_error_empirical,p95_abs_error_empirical,p99_abs_error_empirical,max_error_empirical,fraction_outside_interval,mae_inside_interval,mae_outside_interval,outside_error_contribution,mae_origin_uniform,rmse_origin_uniform,max_error_origin_uniform,origin_empirical_sample_count,origin_empirical_fraction,mae_origin_empirical,rmse_origin_empirical,max_error_origin_empirical,bias_ratio,bias_ratio_denominator_clamped,max_abs_output_uniform,max_abs_output_empirical,valid,invalid_reason,practically_viable,practical_viability_reason
act2_least_squares_d9_I1,act2,least_squares,9,9,I1,-18.4731,9.093,0.07191667491682777,0.09851230431330825,0.4330461077588544,0.0007909990999088734,0.28055242298799754,5.30890298833731,0.09327053436402005,0.35021741505167686,0.4295134034867013,546.3509721112209,0.00943,0.11300996873535833,17.879972243670593,0.6009862130651675,0.31791330419499925,0.3243833083715651,0.4334629455504282,12765,0.12765,0.3157197788407665,0.32196818536286426,0.43345384793925607,0.2563395252512379,False,9.336134489897608,546.3509721112209,True,,True,
act2_least_squares_d9_I2,act2,least_squares,9,9,I2,-24.8339,12.2336,0.0968014595670533,0.1325307553123393,0.5830010873960645,0.00010165016501417767,0.1760856125194626,0.26396202964894905,0.14719995393575097,0.4840523979053415,0.5636268323465378,29.603570500771802,0.001,0.1735117382025187,2.747386055146421,0.015602558413696375,0.465069967160355,0.46980638904973426,0.5830546495686649,12765,0.12765,0.46282641645411965,0.4673913216650281,0.5830455542182723,0.5497408799163187,False,12.559988863070648,46.21496347562532,True,,True,
act2_taylor_d3_I1,act2,taylor,3,2,I1,-18.4731,9.093,7.51477521372883,11.936042671160152,34.11352513180999,-18.4731,2.0198686483206365,5.359759496340639,0.49049772331553676,9.320646309066538,25.227119044862008,93.7202993046617,0.00943,1.7713267028741664,28.12784265690066,0.13131822035809324,0.5785117951276614,0.5819556555953009,0.6931471805599453,12765,0.12765,0.5762686013248864,0.5796017541180787,0.693138550147304,3.72042767235225,False,34.11352513180999,93.7202993046617,True,,True,
act2_taylor_d3_I2,act2,taylor,3,2,I2,-24.8339,12.2336,14.80074413897095,23.208260716543812,65.36652083181005,-24.8339,2.0198686483206365,5.359759496340639,0.49049772331553676,9.320646309066538,25.227119044862008,93.7202993046617,0.001,1.9778361526779566,44.01033179535746,0.021788709791574132,0.5785117951276614,0.5819556555953009,0.6931471805599453,12765,0.12765,0.5762686013248864,0.5796017541180787,0.693138550147304,7.327577538904134,False,65.36652083181005,93.7202993046617,True,,True,
act2_taylor_d5_I1,act2,taylor,5,4,I1,-18.4731,9.093,76.25542971971029,154.14464826941784,572.4243089475559,-18.4731,15.583804633046284,96.44389843990746,0.45904481549584525,55.083484443516554,329.2401585922539,3772.9920141941843,0.00943,10.270276998780945,573.740863877396,0.34717942593369366,0.5784465607092804,0.5818988247278181,0.6931471805599453,12765,0.12765,0.5762026884246298,0.5795439910504797,0.693138550147304,4.893248568966696,False,572.4243089475559,3772.9920141941843,True,,True,
act2_taylor_d5_I2,act2,taylor,5,4,I2,-24.8339,12.2336,258.49106539401123,518.7223810589401,1915.6061460529645,-24.8339,15.583804633046284,96.44389843990746,0.45904481549584525,55.083484443516554,329.2401585922539,3772.9920141941843,0.001,14.31575727179212,1282.363118525956,0.08228819269247235,0.5784465607092804,0.5818988247278181,0.6931471805599453,12765,0.12765,0.5762026884246298,0.5795439910504797,0.693138550147304,16.587160291131166,False,1915.6061460529645,3772.9920141941843,True,,True,
act2_taylor_d7_I1,act2,taylor,7,6,I1,-18.4731,9.093,1254.6945610888358,2982.6391413071124,13226.530724671196,-18.4731,304.9823742626467,3606.3170458403215,0.4676716759485364,422.3687710908943,5835.625086369241,218339.0717609421,0.00943,125.80456954295292,19126.632217442624,0.5913920181339947,0.5784473380855816,0.5818994905707162,0.6931471805599453,12765,0.12765,0.5762034656180657,0.5795446603789028,0.693138550147304,4.113990403944818,False,13226.530724671196,218339.0717609421,True,,True,
act2_taylor_d7_I2,act2,taylor,7,6,I2,-24.8339,12.2336,7595.07180862769,17988.162190264622,79531.76667232714,-24.8339,304.9823742626467,3606.3170458403215,0.4676716759485364,422.3687710908943,5835.625086369241,218339.0717609421,0.001,245.3966345139755,59831.13638318523,0.19617899732021712,0.5784473380855816,0.5818994905707162,0.6931471805599453,12765,0.12765,0.5762034656180657,0.5795446603789028,0.693138550147304,24.90331392753509,False,79531.76667232714,218339.0717609421,True,,True,
act2_taylor_d9_I1,act2,taylor,9,8,I1,-18.4731,9.093,25416.051394657494,68038.81154783198,344150.5236120176,-18.4731,9630.35223108991,182119.3833768505,0.46638359339915253,3607.0123199499826,116221.51605424554,14305940.3546194,0.00943,2152.021265035264,795188.1788530146,0.7786448871907228,0.5784473266024225,0.5818994808338808,0.6931471805599453,12765,0.12765,0.5762034542185941,0.5795446506653913,0.693138550147304,2.639161142269149,False,344150.5236120176,14305940.3546194,True,,False,salida máxima 1.43e+07 > umbral operativo 1e+06
act2_taylor_d9_I2,act2,taylor,9,8,I2,-24.8339,12.2336,276829.5360378751,739389.0794574836,3732599.434365571,-24.8339,9630.35223108991,182119.3833768505,0.46638359339915253,3607.0123199499826,116221.51605424554,14305940.3546194,0.001,6340.218519529779,3296473.930079661,0.34230045287830396,0.5784473266024225,0.5818994808338808,0.6931471805599453,12765,0.12765,0.5762034542185941,0.5795446506653913,0.693138550147304,28.745525542064733,False,3732599.434365571,14305940.3546194,True,,False,salida máxima 1.43e+07 > umbral operativo 1e+06
act3_chebyshev_d3_I1,act3,chebyshev,3,3,I1,-15.7802,12.5193,0.41760075290893,0.5146881643868914,1.43388909247079,0.001179337933793434,0.5124464651505697,0.6363370544049349,0.4268066108163947,1.2576783615725418,1.4066259939384118,9.141743253318843,0.00959,0.5048861148369141,1.2932438117770073,0.02420195864029898,1.31211753565292,1.3140441027280385,1.4345322691841986,6365,0.06365,1.3131056894698414,1.3150239131137575,1.434493861158872,0.8149158620622515,False,13.040105749220611,30.64341599806982,True,,True,
